Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-04-06 03:12:44;2016-04-06 09:01:29;62%;5:48;;;;8094
2016-04-07 02:35:42;2016-04-07 09:04:04;69%;6:28;;;;4431
2016-04-08 02:13:25;2016-04-08 09:01:25;72%;6:48;;;;8244
2016-04-09 02:58:45;2016-04-09 10:24:27;82%;7:25;;;;5419
2016-04-10 03:40:47;2016-04-10 12:16:54;84%;8:36;;;;1755
2016-04-11 03:19:53;2016-04-11 08:53:37;60%;5:33;;;;3728
2016-04-12 03:09:38;2016-04-12 09:00:19;64%;5:50;;;;4366
2016-04-13 02:50:21;2016-04-13 08:52:16;55%;6:01;;;;13421
2016-04-14 03:03:49;2016-04-14 09:12:37;63%;6:08;;;;8428
2016-04-15 02:45:22;2016-04-15 09:03:08;67%;6:17;;;;8253
2016-04-16 03:01:56;2016-04-16 09:59:49;61%;6:57;;;;9031
2016-04-18 02:36:42;2016-04-18 08:31:05;62%;5:54;;;;13623
2016-04-19 02:50:41;2016-04-19 08:31:09;64%;5:40;;;;8099
2016-04-20 03:02:19;2016-04-20 08:54:42;66%;5:52;;;;15421
2016-04-21 02:37:21;2016-04-21 09:17:19;69%;6:39;;;;5588
2016-04-22 02:57:34;2016-04-22 09:37:07;69%;6:39;;;;3539
2016-04-23 02:38:45;2016-04-23 09:23:12;61%;6:44;;;;10214
2016-04-24 02:31:27;2016-04-24 10:19:53;78%;7:48;;;;14851
2016-04-25 01:04:32;2016-04-25 08:05:17;73%;7:00;;;;7586
2016-04-26 01:51:24;2016-04-26 07:34:19;65%;5:42;;;;6202
2016-04-27 02:26:23;2016-04-27 07:08:31;53%;4:42;;;;10961
2016-04-28 01:25:09;2016-04-28 07:42:27;72%;6:17;;;;14186
2016-04-29 02:04:33;2016-04-29 06:54:59;55%;4:50;;;;8164
2016-04-30 03:29:26;2016-04-30 08:30:28;58%;5:01;;;;19897
2016-05-02 01:34:04;2016-05-02 06:56:43;57%;5:22;;;;15836
2016-05-03 02:27:32;2016-05-03 08:11:54;58%;5:44;;;;13964
2016-05-04 03:12:26;2016-05-04 08:47:15;60%;5:34;;;;5492
2016-05-05 02:41:06;2016-05-05 09:00:19;73%;6:19;;;;5456
2016-05-06 01:53:37;2016-05-06 08:10:04;71%;6:16;;;;2751
2016-05-09 03:07:55;2016-05-09 08:56:56;60%;5:49;;;;7958
2016-05-10 03:12:50;2016-05-10 09:00:47;66%;5:47;;;;4898
2016-05-11 02:43:56;2016-05-11 09:01:38;73%;6:17;;;;2672
2016-05-12 02:26:09;2016-05-12 08:50:12;76%;6:24;;;;4508
2016-05-13 03:27:49;2016-05-13 08:59:59;54%;5:32;;;;4181
2016-05-14 03:16:58;2016-05-14 14:00:21;97%;10:43;;Drank;;11347
2016-05-15 03:22:29;2016-05-15 11:54:52;85%;8:32;;Drank:Worked out;;13746
2016-05-16 03:19:38;2016-05-16 09:01:08;58%;5:41;;;;509
2016-05-17 03:32:00;2016-05-17 08:35:37;56%;5:03;;;;4893
2016-05-18 03:35:48;2016-05-18 09:01:06;60%;5:25;;;;6064
2016-05-19 03:02:09;2016-05-19 09:00:30;66%;5:58;;;;6030
2016-05-20 02:36:25;2016-05-20 08:32:04;56%;5:55;;;;9224
2016-05-21 03:07:50;2016-05-21 09:51:20;73%;6:43;;;;7656
2016-05-23 03:08:20;2016-05-23 11:00:14;100%;7:51;;;;23911
2016-05-24 00:56:04;2016-05-24 08:41:07;59%;7:45;;;;12686
2016-05-25 01:09:38;2016-05-25 08:02:58;71%;6:53;;;;5614
2016-05-26 02:39:12;2016-05-26 08:51:55;72%;6:12;;;;10971
2016-05-27 02:35:31;2016-05-27 09:00:28;67%;6:24;;Drank;;7678
2016-05-28 03:16:52;2016-05-28 10:38:25;81%;7:21;;Drank;;8330
2016-05-29 03:03:51;2016-05-29 11:59:58;100%;8:56;;Drank:Worked out;;19604
2016-05-30 03:29:46;2016-05-30 09:01:01;62%;5:31;;;;8984
2016-05-31 03:34:52;2016-05-31 09:00:29;60%;5:25;;;;6192
