Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-02-25 06:17:39;2017-02-25 15:13:17;100%;8:55;;;65;14916
2017-02-26 07:05:10;2017-02-26 14:00:54;87%;6:55;;;71;25747
2017-02-27 07:24:32;2017-02-27 14:07:05;84%;6:42;;;72;26922
2017-02-28 07:18:37;2017-02-28 14:00:50;83%;6:42;;;54;13402
2017-03-01 06:50:15;2017-03-01 14:00:28;89%;7:10;;;69;12178
2017-03-02 07:50:00;2017-03-02 14:00:23;75%;6:10;;;66;18575
2017-03-03 07:26:42;2017-03-03 14:20:03;85%;6:53;;;64;8046
2017-03-06 00:12:09;2017-03-06 08:30:27;100%;8:18;;;58;7670
2017-03-07 03:24:01;2017-03-07 08:30:12;54%;5:06;;;67;3749
2017-03-08 00:48:39;2017-03-08 08:30:44;80%;7:42;;;47;9439
2017-03-09 01:54:51;2017-03-09 08:30:51;63%;6:36;;Drank;55;5234
2017-03-10 03:42:12;2017-03-10 08:45:52;54%;5:03;;Drank;55;6642
2017-03-11 03:43:01;2017-03-11 09:22:26;60%;5:39;;;75;4732
2017-03-12 04:00:13;2017-03-12 11:30:20;81%;7:30;;;75;6522
2017-03-13 03:53:42;2017-03-13 08:30:12;46%;4:36;;;77;8932
2017-03-14 03:37:23;2017-03-14 08:31:21;47%;4:53;;;52;9008
2017-03-15 03:39:50;2017-03-15 08:30:29;52%;4:50;;;57;9087
2017-03-16 04:20:08;2017-03-16 08:48:22;46%;4:28;;;53;9314
2017-03-17 02:44:49;2017-03-17 10:08:50;82%;7:24;;;;8917
2017-03-18 03:39:56;2017-03-18 12:41:29;98%;9:01;;;89;6312
2017-03-19 04:05:18;2017-03-19 12:27:14;86%;8:21;;;64;4527
2017-03-20 03:06:35;2017-03-20 08:31:42;57%;5:25;;;68;4999
2017-03-21 02:45:57;2017-03-21 08:30:19;61%;5:44;;;61;3652
2017-03-22 02:27:14;2017-03-22 08:38:26;63%;6:11;;;53;7512
2017-03-23 02:55:11;2017-03-23 09:43:10;70%;6:47;;;54;4224
2017-03-24 01:51:16;2017-03-24 10:18:28;87%;8:27;;Stressful day;64;6304
2017-03-25 03:32:26;2017-03-25 12:13:26;84%;8:41;;;;4448
2017-03-26 03:45:16;2017-03-26 12:33:40;88%;8:48;;;88;2435
2017-03-27 02:30:18;2017-03-27 08:33:14;62%;6:02;;;83;2679
2017-03-28 03:00:04;2017-03-28 08:30:30;58%;5:30;;;56;7009
2017-03-29 02:18:22;2017-03-29 09:21:53;75%;7:03;;;80;6047
2017-03-30 03:58:46;2017-03-30 10:02:03;66%;6:03;;Stressful day;67;5705
2017-03-31 03:12:02;2017-03-31 10:08:21;74%;6:56;;;66;5076
2017-04-01 03:32:58;2017-04-01 11:10:16;82%;7:37;;;90;6919
2017-04-02 03:46:12;2017-04-02 09:42:02;54%;5:55;;Drank;97;17710
2017-04-03 01:33:53;2017-04-03 08:59:53;80%;7:25;;;83;18309
2017-04-04 03:07:44;2017-04-04 08:33:37;57%;5:25;;;80;4638
2017-04-05 03:25:57;2017-04-05 10:10:09;73%;6:44;;;92;3772
2017-04-06 03:06:38;2017-04-06 08:56:38;61%;5:50;;;60;4758
2017-04-07 03:36:54;2017-04-07 10:01:10;66%;6:24;;;58;3224
2017-04-08 03:43:37;2017-04-08 11:41:24;83%;7:57;;;65;5985
2017-04-09 03:25:20;2017-04-09 13:02:27;90%;9:37;;;72;19115
2017-04-10 02:38:54;2017-04-10 09:02:46;68%;6:23;;;68;10310
2017-04-11 03:19:03;2017-04-11 08:47:07;56%;5:28;;;56;7804
2017-04-12 04:52:12;2017-04-12 08:40:59;41%;3:48;;Drank;90;10497
2017-04-13 03:02:14;2017-04-13 09:08:01;60%;6:05;;;79;5965
2017-04-14 03:35:41;2017-04-14 07:26:03;28%;3:50;;Drank;81;10744
2017-04-15 01:17:05;2017-04-15 11:17:28;96%;10:00;;;58;20253
2017-04-16 01:19:41;2017-04-16 08:49:29;77%;7:29;;;69;5750
2017-04-17 03:05:58;2017-04-17 09:09:50;61%;6:03;;;84;16489
2017-04-18 00:08:34;2017-04-18 08:30:16;36%;8:21;;;73;14655
2017-04-19 01:26:31;2017-04-19 09:00:52;78%;7:34;;;74;5453
2017-04-20 02:27:59;2017-04-20 08:49:27;68%;6:21;;;72;7804
2017-04-21 02:19:04;2017-04-21 09:01:44;72%;6:42;;;57;4986
2017-04-24 00:41:29;2017-04-24 08:31:03;72%;7:49;;Drank;84;11764
2017-04-25 01:49:16;2017-04-25 08:30:17;69%;6:41;;;57;8169
2017-04-26 00:51:42;2017-04-26 08:30:22;64%;7:38;;;90;3944
2017-04-27 02:27:19;2017-04-27 08:28:59;62%;6:01;;Drank;68;8377
2017-04-29 02:08:34;2017-04-29 10:22:56;85%;8:14;;Drank;97;10816
2017-04-30 00:35:41;2017-04-30 09:56:14;88%;9:20;;;66;3368
2017-05-02 00:38:40;2017-05-02 06:41:03;51%;6:02;;;74;3933
2017-05-03 00:16:47;2017-05-03 08:30:25;85%;8:13;;;61;6536
2017-05-04 02:22:28;2017-05-04 08:30:56;67%;6:08;;;64;6842
2017-05-06 00:52:32;2017-05-06 07:00:19;57%;6:07;;Drank;85;5931
2017-05-06 23:11:07;2017-05-07 08:41:08;91%;9:30;;Drank;71;7304
2017-05-09 01:20:05;2017-05-09 08:30:25;71%;7:10;;Drank;93;5756
2017-05-11 01:20:44;2017-05-11 08:26:07;75%;7:05;;;76;6767
2017-05-12 00:25:08;2017-05-12 05:54:41;57%;5:29;;;59;9506
2017-05-13 02:20:20;2017-05-13 09:49:32;75%;7:29;;;89;7340
2017-05-14 01:46:01;2017-05-14 10:27:54;94%;8:41;;;60;13544
2017-05-15 00:47:41;2017-05-15 08:28:29;81%;7:40;;;58;3930
2017-05-16 01:06:07;2017-05-16 08:30:16;68%;7:24;;Drank;87;5809
2017-05-17 00:08:37;2017-05-17 08:30:16;85%;8:21;;;54;3489
2017-05-18 00:52:27;2017-05-18 08:30:22;77%;7:37;;;92;7741
2017-05-19 01:47:17;2017-05-19 08:31:25;71%;6:44;;Drank;67;7699
2017-05-20 00:18:02;2017-05-20 07:16:04;71%;6:58;;;64;4671
2017-05-21 00:31:08;2017-05-21 09:34:57;92%;9:03;;Drank;66;9330
2017-05-22 00:47:58;2017-05-22 08:30:11;65%;7:42;;Drank;83;24825
2017-05-23 00:15:23;2017-05-23 08:19:19;87%;8:03;;;58;6389
2017-05-24 02:32:03;2017-05-24 08:31:50;66%;5:59;;;89;6804
2017-05-25 00:38:32;2017-05-25 08:30:17;59%;7:51;;Drank;73;3719
2017-05-26 00:19:00;2017-05-26 08:22:34;79%;8:03;;;68;4471
2017-05-27 02:18:38;2017-05-27 09:19:39;77%;7:01;;Drank;72;3799
2017-05-30 00:19:02;2017-05-30 08:26:26;84%;8:07;;;102;5080
2017-05-31 01:39:32;2017-05-31 08:30:25;70%;6:50;;;54;10477
2017-06-01 00:47:52;2017-06-01 08:30:56;77%;7:43;;;76;4460
2017-06-02 01:25:20;2017-06-02 08:28:29;75%;7:03;;Ate late:Drank;87;7065
2017-06-03 03:30:41;2017-06-03 09:55:35;70%;6:24;;Drank;69;7988
2017-06-04 00:55:49;2017-06-04 09:17:11;86%;8:21;;;78;13723
2017-06-05 02:32:39;2017-06-05 08:30:18;69%;5:57;;;66;3431
2017-06-06 02:23:30;2017-06-06 08:31:14;69%;6:07;;;67;3215
2017-06-07 02:11:03;2017-06-07 08:30:15;71%;6:19;;;99;4896
2017-06-08 02:37:49;2017-06-08 08:30:28;65%;5:52;;;82;3701
2017-06-09 02:34:17;2017-06-09 08:31:49;63%;5:57;;Drank;88;7727
2017-06-10 02:52:05;2017-06-10 09:55:41;77%;7:03;;;89;5971
2017-06-11 03:10:09;2017-06-11 11:16:49;84%;8:06;;;58;10579
2017-06-12 02:41:02;2017-06-12 08:33:06;61%;5:52;;;58;20213
2017-06-13 02:28:43;2017-06-13 08:30:24;64%;6:01;;;76;4992
2017-06-14 02:32:51;2017-06-14 08:25:35;64%;5:52;;;87;5071
2017-06-15 02:24:23;2017-06-15 08:31:20;68%;6:06;;Drank;74;8410
2017-06-16 00:14:37;2017-06-16 08:28:52;86%;8:14;;;59;3254
2017-06-17 01:42:56;2017-06-17 07:42:07;53%;5:59;;;66;4932
2017-06-18 01:15:13;2017-06-18 08:36:03;77%;7:20;;;54;10864
2017-06-20 02:38:11;2017-06-20 08:30:14;54%;5:52;;Drank;65;9414
2017-06-21 01:09:59;2017-06-21 08:28:45;73%;7:18;;;63;9719
2017-06-23 01:19:50;2017-06-23 08:37:15;64%;7:17;;Drank;73;6552
2017-06-24 01:44:17;2017-06-24 08:32:42;67%;6:48;;;66;4694
2017-06-25 02:17:34;2017-06-25 08:32:59;57%;6:15;;Worked out;80;27692
2017-06-26 01:02:27;2017-06-26 08:30:10;74%;7:27;;Drank;73;1931
2017-06-27 00:45:15;2017-06-27 08:30:10;76%;7:44;;Drank;68;12354
2017-06-28 01:39:45;2017-06-28 08:12:12;65%;6:32;;;72;5264
2017-06-29 01:28:36;2017-06-29 08:30:13;69%;7:01;;;79;6291
2017-06-30 01:13:10;2017-06-30 08:29:24;69%;7:16;;;83;5667
2017-07-01 00:46:52;2017-07-01 09:49:35;88%;9:02;;Drank;79;7133
2017-07-03 23:55:36;2017-07-04 08:26:28;83%;8:30;;Drank;67;6137
2017-07-06 01:09:42;2017-07-06 08:08:20;68%;6:58;;;66;8832
2017-07-07 00:58:26;2017-07-07 08:30:22;74%;7:31;;;57;6149
2017-07-08 01:25:18;2017-07-08 08:31:36;72%;7:06;;;86;6473
2017-07-09 01:14:42;2017-07-09 08:57:19;72%;7:42;;;95;8468
2017-07-10 00:16:22;2017-07-10 08:30:18;79%;8:13;;;78;17126
2017-07-11 02:05:15;2017-07-11 08:30:22;63%;6:25;;;60;9076
2017-07-12 01:38:41;2017-07-12 08:30:29;71%;6:51;;;55;9564
2017-07-13 01:06:16;2017-07-13 08:30:14;74%;7:23;;;67;8781
2017-07-14 02:24:52;2017-07-14 08:29:40;64%;6:04;;Drank;127;5996
2017-07-15 01:11:29;2017-07-15 10:12:33;88%;9:01;;;66;7594
2017-07-16 02:57:25;2017-07-16 10:28:51;70%;7:31;;;77;9625
2017-07-17 02:31:23;2017-07-17 08:30:18;56%;5:58;;;77;2804
2017-07-18 01:36:47;2017-07-18 08:30:12;72%;6:53;;;81;6458
2017-07-19 02:04:02;2017-07-19 08:30:10;64%;6:26;;;74;8642
2017-07-20 01:22:25;2017-07-20 08:32:42;66%;7:10;;;79;8690
2017-07-21 01:31:02;2017-07-21 08:30:13;68%;6:59;;;72;7268
2017-07-22 02:03:43;2017-07-22 09:00:18;69%;6:56;;;57;15814
2017-07-23 02:35:17;2017-07-23 08:25:30;61%;5:50;;;65;10381
2017-07-24 02:11:08;2017-07-24 08:30:46;49%;6:19;;Drank;84;13251
2017-07-25 00:44:24;2017-07-25 08:29:59;77%;7:45;;;74;7263
2017-07-26 01:21:33;2017-07-26 08:30:40;63%;7:09;;;56;7683
2017-07-27 01:18:31;2017-07-27 08:28:08;58%;7:09;;;56;4403
2017-07-28 00:53:13;2017-07-28 08:26:15;68%;7:33;;;55;8585
2017-07-31 00:43:10;2017-07-31 08:30:10;73%;7:46;;;86;12094
2017-08-01 01:29:55;2017-08-01 08:35:05;70%;7:05;;;60;8310
2017-08-02 00:53:14;2017-08-02 08:26:09;76%;7:32;;;57;9232
2017-08-03 01:15:58;2017-08-03 08:30:20;68%;7:14;;;65;7248
2017-08-04 01:18:27;2017-08-04 08:27:58;71%;7:09;;;79;6099
2017-08-05 02:32:56;2017-08-05 08:42:46;61%;6:09;;;64;5867
2017-08-06 02:20:27;2017-08-06 11:27:42;92%;9:07;;;70;12568
2017-08-07 03:15:03;2017-08-07 08:31:00;52%;5:15;;;68;13693
2017-08-08 01:28:20;2017-08-08 08:28:32;69%;7:00;;;53;2417
2017-08-09 02:41:29;2017-08-09 08:30:32;59%;5:49;;;68;9676
2017-08-10 00:57:38;2017-08-10 08:30:12;78%;7:32;;;59;6340
2017-08-11 01:33:14;2017-08-11 08:52:19;72%;7:19;;;;3847
2017-08-12 01:46:16;2017-08-12 09:05:11;74%;7:18;;;88;5385
2017-08-13 03:31:56;2017-08-13 11:00:13;79%;7:28;;;83;6396
2017-08-14 01:57:06;2017-08-14 08:32:27;61%;6:35;;;89;31611
2017-08-15 01:03:03;2017-08-15 08:30:14;72%;7:27;;Drank;80;5037
2017-08-16 01:39:19;2017-08-16 08:30:09;68%;6:50;;;79;7261
2017-08-17 01:04:06;2017-08-17 08:30:18;73%;7:26;;;54;7324
2017-08-18 00:26:35;2017-08-18 07:22:35;0%;0:00;;;;6940
2017-08-20 02:58:11;2017-08-20 12:00:04;100%;9:01;;Worked out;81;26626
2017-08-21 01:09:54;2017-08-21 08:30:52;66%;7:20;;;56;5203
2017-08-22 02:16:15;2017-08-22 08:30:10;66%;6:13;;;78;9987
2017-08-23 02:34:58;2017-08-23 08:30:10;68%;5:55;;;76;5070
2017-08-24 00:55:32;2017-08-24 08:30:14;81%;7:34;;;76;7496
2017-08-26 00:55:54;2017-08-26 09:41:06;83%;8:45;;;63;7274
2017-08-27 02:46:55;2017-08-27 10:24:00;72%;7:37;;;66;6575
2017-08-28 01:13:22;2017-08-28 08:30:16;66%;7:16;;Worked out;70;12108
2017-08-29 01:26:16;2017-08-29 08:30:52;62%;7:04;;;73;4301
2017-08-30 01:40:03;2017-08-30 08:30:32;70%;6:50;;;84;11772
2017-08-31 01:55:16;2017-08-31 08:30:43;56%;6:35;;;72;2258
2017-09-01 03:06:52;2017-09-01 08:30:46;61%;5:23;;;68;5890
2017-09-02 04:50:44;2017-09-02 10:19:46;57%;5:29;;;63;3807
2017-09-03 01:19:50;2017-09-03 10:17:19;95%;8:57;;;62;3999
2017-09-04 02:54:07;2017-09-04 08:30:21;63%;5:36;;;53;652
2017-09-05 01:16:43;2017-09-05 08:30:15;79%;7:13;;Worked out;71;25521
2017-09-06 01:30:39;2017-09-06 08:33:17;70%;7:02;;;62;6219
2017-09-07 01:52:05;2017-09-07 08:30:31;60%;6:38;;Stressful day;68;8188
2017-09-08 01:33:14;2017-09-08 08:30:10;69%;6:56;;;;6470
2017-09-09 00:45:22;2017-09-09 09:47:25;90%;9:02;;;60;3609
2017-09-10 01:06:36;2017-09-10 08:18:18;68%;7:11;;Drank;;14846
2017-09-11 00:59:44;2017-09-11 08:30:24;70%;7:30;;;57;12856
2017-09-12 01:25:38;2017-09-12 08:30:22;66%;7:04;;;60;3912
2017-09-13 01:01:25;2017-09-13 08:30:25;77%;7:29;;;64;6568
2017-09-14 01:40:40;2017-09-14 08:32:40;67%;6:51;;Drank;58;13262
2017-09-15 01:07:57;2017-09-15 08:30:24;77%;7:22;;;55;4764
2017-09-16 02:40:05;2017-09-16 10:00:15;84%;7:20;;;57;5048
2017-09-17 03:18:35;2017-09-17 10:16:52;77%;6:58;;;63;10294
2017-09-18 01:31:20;2017-09-18 08:32:57;72%;7:01;;;64;8627
2017-09-19 01:19:23;2017-09-19 08:32:38;77%;7:13;;;59;5665
2017-09-20 02:18:21;2017-09-20 08:30:12;66%;6:11;;Drank;89;8222
2017-09-20 23:56:29;2017-09-21 03:22:35;43%;3:26;;;74;10506
2017-09-27 03:31:45;2017-09-27 08:30:50;49%;4:59;;;62;3715
2017-09-28 02:54:58;2017-09-28 08:30:35;60%;5:35;;;91;10003
2017-09-29 02:12:58;2017-09-29 08:30:44;68%;6:17;;;89;6752
2017-09-30 02:12:13;2017-09-30 10:44:06;89%;8:31;;;70;10282
2017-10-01 02:26:42;2017-10-01 08:42:02;74%;6:15;;;63;6737
2017-10-02 01:06:39;2017-10-02 08:29:13;73%;7:22;;Drank:Worked out;64;15584
2017-10-03 02:34:32;2017-10-03 08:30:36;62%;5:56;;;76;6711
2017-10-04 01:37:37;2017-10-04 08:30:56;76%;6:53;;;84;5332
2017-10-05 01:12:10;2017-10-05 08:30:24;70%;7:51;;Drank;66;6012
2017-10-06 01:53:23;2017-10-06 08:27:50;67%;6:34;;Drank;56;10910
2017-10-07 02:30:22;2017-10-07 08:46:20;68%;6:15;;;77;6451
2017-10-10 01:25:44;2017-10-10 08:28:28;70%;7:02;;Ate late:Drank:Worked out;64;5060
2017-10-11 02:39:49;2017-10-11 08:30:33;57%;5:50;;;80;7142
2017-10-12 01:48:22;2017-10-12 08:52:13;77%;7:03;;;70;4350
2017-10-13 01:59:22;2017-10-13 08:33:32;71%;6:34;;;65;7365
2017-10-15 01:00:31;2017-10-15 10:00:30;88%;8:59;;;70;6156
2017-10-16 01:41:57;2017-10-16 08:30:50;71%;6:48;;;84;5137
2017-10-17 02:45:08;2017-10-17 08:30:17;55%;5:45;;;93;7643
2017-10-18 01:47:38;2017-10-18 08:27:52;67%;6:40;;;;6135
2017-10-19 02:34:13;2017-10-19 06:17:16;42%;3:43;;;;3530
2017-10-20 01:28:19;2017-10-20 08:30:35;72%;7:02;;Drank;79;4890
2017-10-21 03:14:11;2017-10-21 10:01:19;63%;6:47;;;76;6768
2017-10-22 01:23:37;2017-10-22 10:02:58;84%;8:39;;;58;8108
2017-10-23 01:16:36;2017-10-23 08:27:26;71%;7:10;;;69;14411
2017-10-24 01:33:05;2017-10-24 08:25:54;67%;6:52;;Drank;72;4748
2017-10-25 00:58:30;2017-10-25 08:30:29;74%;7:31;;;90;7072
2017-10-26 01:29:52;2017-10-26 08:30:42;67%;7:00;;Drank;78;8194
2017-10-27 01:06:58;2017-10-27 08:11:39;60%;7:04;;Drank;75;5754
2017-10-28 01:17:28;2017-10-28 09:39:45;88%;8:22;;;71;6878
2017-10-29 03:05:28;2017-10-29 10:35:57;85%;7:30;;;68;2716
2017-10-29 23:57:44;2017-10-30 08:03:45;72%;8:06;;;64;58
2017-10-31 01:49:14;2017-10-31 08:02:22;64%;6:13;;;60;4337
2017-11-01 01:17:41;2017-11-01 07:56:14;68%;6:38;;;75;5423
2017-11-02 01:29:23;2017-11-02 08:29:47;75%;7:00;;;82;7529
2017-11-03 01:03:36;2017-11-03 08:24:00;69%;7:20;;;77;4801
2017-11-04 00:31:05;2017-11-04 08:00:13;71%;7:29;;Drank;82;11519
2017-11-05 01:38:42;2017-11-05 10:09:56;90%;8:31;;;65;1714
2017-11-06 01:17:41;2017-11-06 08:23:11;77%;7:05;;Drank;68;7412
2017-11-07 02:32:45;2017-11-07 08:31:01;64%;5:58;;;101;8617
2017-11-08 01:13:34;2017-11-08 08:30:17;75%;7:16;;Drank;69;6168
2017-11-09 00:31:06;2017-11-09 08:30:47;67%;7:59;;;65;3490
2017-11-10 01:30:35;2017-11-10 08:28:42;63%;6:58;;;84;1944
2017-11-11 01:14:29;2017-11-11 10:03:00;94%;8:48;;;78;1001
2017-11-12 02:07:55;2017-11-12 09:44:26;73%;7:36;;;66;5509
2017-11-13 02:24:46;2017-11-13 08:31:30;59%;6:06;;;83;3650
2017-11-14 01:25:16;2017-11-14 08:27:25;70%;7:02;;;72;5718
2017-11-15 02:12:42;2017-11-15 08:27:34;69%;6:14;;;;5005
2017-11-16 01:59:41;2017-11-16 08:31:33;64%;6:31;;Drank;79;5387
2017-11-17 01:39:36;2017-11-17 08:30:22;69%;6:50;;;73;6806
2017-11-18 01:00:54;2017-11-18 09:20:29;84%;8:19;;Drank;81;6405
2017-11-19 01:51:18;2017-11-19 08:53:32;83%;7:02;;Drank;75;4590
2017-11-20 02:43:03;2017-11-20 08:31:07;62%;5:48;;;64;1017
2017-11-21 01:24:25;2017-11-21 08:28:08;72%;7:03;;;;916
2017-11-22 01:26:51;2017-11-22 08:30:36;74%;7:03;;;57;5710
2017-11-23 02:06:46;2017-11-23 08:30:46;68%;6:23;;;;5547
2017-11-24 01:20:03;2017-11-24 08:26:28;78%;7:06;;;;8684
2017-11-27 02:06:44;2017-11-27 08:30:34;64%;6:23;;;;11997
2017-11-28 01:56:59;2017-11-28 08:30:56;71%;6:33;;;;3637
2017-11-29 01:02:39;2017-11-29 08:30:49;70%;7:28;;;;5419
2017-11-30 00:50:26;2017-11-30 08:31:07;80%;7:40;;;;2156
2017-12-01 01:37:31;2017-12-01 08:28:14;63%;6:50;;Drank;;4696
2017-12-02 02:19:23;2017-12-02 11:01:37;81%;8:42;;Drank;;4764
2017-12-03 03:29:23;2017-12-03 11:06:08;91%;7:36;;;;7394
2017-12-04 01:41:23;2017-12-04 08:30:53;56%;6:49;;;;3678
2017-12-05 01:46:08;2017-12-05 08:43:32;69%;6:57;;;;6744
2017-12-06 01:32:11;2017-12-06 08:30:34;69%;6:58;;;;9002
2017-12-07 02:11:29;2017-12-07 08:34:24;55%;6:22;;;;6154
2017-12-08 01:40:59;2017-12-08 08:31:02;83%;6:50;;;;5013
2017-12-09 03:23:00;2017-12-09 10:00:27;85%;6:37;;;66;3629
2017-12-10 02:13:34;2017-12-10 11:01:49;100%;8:48;;Drank;;13086
2017-12-11 01:58:43;2017-12-11 08:30:41;69%;6:31;;;;6185
2017-12-12 02:06:43;2017-12-12 08:28:09;75%;6:21;;;;6332
2017-12-13 02:15:14;2017-12-13 08:37:18;60%;6:22;;;;8597
2017-12-14 02:13:25;2017-12-14 08:30:37;65%;6:17;;;;9700
2017-12-15 01:46:23;2017-12-15 08:30:34;80%;6:44;;;74;7343
2017-12-17 04:21:35;2017-12-17 12:56:27;99%;8:34;;;78;5491
2017-12-18 01:43:07;2017-12-18 08:30:54;70%;6:47;;;62;4444
2017-12-19 01:41:08;2017-12-19 08:29:07;70%;6:47;;;;4473
2017-12-20 01:31:21;2017-12-20 08:31:21;75%;6:59;;;68;8540
2017-12-21 01:26:35;2017-12-21 08:30:43;78%;7:04;;;62;6056
2017-12-22 02:25:48;2017-12-22 11:00:15;82%;8:34;;Drank;65;12430
2017-12-23 03:42:02;2017-12-23 11:21:34;67%;7:39;;;73;5714
2017-12-27 01:46:54;2017-12-27 08:27:05;80%;6:40;;;61;4356
2017-12-28 01:39:54;2017-12-28 08:31:02;76%;6:51;;Drank;74;7376
2017-12-29 01:34:43;2017-12-29 08:30:59;82%;6:56;;;59;7715
2017-12-30 01:47:24;2017-12-30 09:26:18;81%;7:38;;;77;8217
2017-12-31 04:06:36;2017-12-31 09:46:08;73%;5:39;;;52;50
