Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-01-01 04:13:50;2017-01-01 10:28:22;61%;6:14;;Drank;89;13681
2017-01-02 03:23:37;2017-01-02 09:00:30;53%;5:36;;;53;4125
2017-01-03 01:32:15;2017-01-03 08:01:37;72%;6:29;;;73;11019
2017-01-04 03:12:25;2017-01-04 09:01:43;65%;5:49;;;60;7540
2017-01-05 03:04:28;2017-01-05 08:36:33;64%;5:32;;;60;4271
2017-01-06 03:24:30;2017-01-06 09:02:52;64%;5:38;;Drank;67;7828
2017-01-07 04:10:00;2017-01-07 10:54:39;63%;6:44;;Drank;81;6778
2017-01-08 04:02:32;2017-01-08 11:07:01;68%;7:04;;;71;6688
2017-01-09 02:19:59;2017-01-09 09:06:01;69%;6:46;;;70;8568
2017-01-10 02:56:52;2017-01-10 09:01:58;67%;6:05;;;67;8832
2017-01-11 03:12:58;2017-01-11 08:55:46;72%;5:42;;;72;4716
2017-01-12 03:14:58;2017-01-12 09:01:19;69%;5:46;;;74;4208
2017-01-13 03:42:00;2017-01-13 09:02:37;62%;5:20;;Drank;71;5969
2017-01-14 02:17:05;2017-01-14 08:51:14;75%;6:34;;Drank;103;5950
2017-01-15 02:45:55;2017-01-15 09:53:27;87%;7:07;;Drank;85;13049
2017-01-16 02:34:26;2017-01-16 08:44:36;69%;6:10;;;57;5959
2017-01-17 02:54:16;2017-01-17 08:49:55;64%;5:55;;;58;6361
2017-01-18 01:34:50;2017-01-18 08:47:08;86%;7:12;;Drank;59;8394
2017-01-19 02:51:17;2017-01-19 09:03:37;76%;6:12;;;74;3012
2017-01-20 02:28:59;2017-01-20 08:55:35;75%;6:26;;;71;3605
2017-01-21 03:50:54;2017-01-21 09:33:04;68%;5:42;;;76;6599
2017-01-22 02:25:08;2017-01-22 10:49:13;87%;8:24;;;74;6550
2017-01-23 02:28:40;2017-01-23 08:41:03;64%;6:12;;;75;7824
2017-01-24 02:48:49;2017-01-24 08:59:23;69%;6:10;;;80;4596
2017-01-25 02:54:47;2017-01-25 09:00:20;61%;6:05;;;;6133
2017-01-26 04:04:10;2017-01-26 09:05:12;49%;5:01;;Drank;92;6841
2017-01-27 02:39:47;2017-01-27 09:00:14;55%;6:20;;;80;3134
2017-01-28 03:25:34;2017-01-28 12:45:29;100%;9:19;;;77;4028
2017-01-29 03:33:43;2017-01-29 12:29:10;100%;8:55;;;77;4470
2017-01-30 03:27:33;2017-01-30 09:07:16;66%;5:39;;;64;4459
2017-01-31 03:15:06;2017-01-31 09:01:41;69%;5:46;;;76;4212
2017-02-01 02:39:34;2017-02-01 09:00:38;77%;6:21;;Drank;70;4229
2017-02-02 02:02:17;2017-02-02 09:00:25;86%;6:58;;Drank;59;5939
2017-02-03 02:42:08;2017-02-03 08:40:21;71%;5:58;;;62;8690
2017-02-04 02:38:54;2017-02-04 09:03:05;74%;6:24;;;81;3979
2017-02-06 07:03:17;2017-02-06 15:09:13;77%;8:05;;;82;18820
2017-02-07 08:09:37;2017-02-07 14:39:50;65%;6:30;;Drank;74;15382
2017-02-08 08:17:08;2017-02-08 15:20:36;75%;7:03;;Drank;77;18978
2017-02-09 09:33:52;2017-02-09 15:50:43;76%;6:16;;Drank;75;17866
2017-02-10 07:55:07;2017-02-10 15:45:16;92%;7:50;;Drank;88;7296
2017-02-11 08:25:43;2017-02-11 16:23:56;85%;7:58;;;93;12279
2017-02-12 09:25:17;2017-02-12 15:03:12;69%;5:37;;Drank;87;11953
2017-02-13 07:49:32;2017-02-13 15:36:08;71%;7:46;;Drank;;22242
2017-02-14 08:48:59;2017-02-14 15:08:57;70%;6:19;;;86;22369
2017-02-15 08:24:07;2017-02-15 14:00:52;69%;5:36;;;62;25343
2017-02-16 10:33:58;2017-02-16 16:17:49;69%;5:43;;Drank;66;22520
2017-02-17 09:31:35;2017-02-17 15:42:50;75%;6:11;;Drank;86;22982
2017-02-18 10:03:45;2017-02-18 17:42:48;87%;7:39;;;79;20290
2017-02-19 08:15:39;2017-02-19 16:15:38;95%;7:59;;;93;17010
2017-02-20 08:31:25;2017-02-20 14:00:48;66%;5:29;;Drank;68;22490
2017-02-21 05:55:55;2017-02-21 13:15:43;83%;7:19;;;55;16488
2017-02-22 04:48:37;2017-02-22 14:50:02;100%;10:01;;Drank;62;18297
2017-02-23 07:10:34;2017-02-23 14:00:37;83%;6:50;;;89;19725
